,Municipios,Latitude,Longitude,Limitrofes,Populacao,2010,2011,2012,2013,2014,2015
59,Quatis,-22.4066444,-44.2577453,"Barra Mansa,Porto Real,Resende,Valença",14562,10,13,0,17,4,723
60,Queimados,-22.7156978,-43.555754,"Japeri,Nova Iguaçu,Seropédica",152311,59,384,308,190,8,18
61,Quissamã,-22.107205,-41.4723411,"Campos dos Goytacazes,Macaé,Carapebus,Conceição de Macabu.",25535,61,493,6,126,2,92
62,Resende,-22.4683626,-44.4463494,"Barra Mansa,Itatiaia,Porto Real,Quatis",133244,26,1039,179,559,366,8523
63,Rio Bonito,-22.7108378,-42.6271864,"Cachoeiras de Macacu,Silva Jardim,Saquarema,Tanguá,Araruama,Itaboraí",60930,112,245,234,2341,5,10
64,Rio Claro,-22.7229997,-44.1359986,"Angra dos Reis,Barra Mansa,Itaguaí,Mangaratiba,Piraí,Volta Redonda",18677,3,16,4,22,5,112
65,Rio das Flores,-22.1683478,-43.5858689,"Paraíba do Sul,Valença,Vassouras",9401,5,39,17,180,2,11
66,Rio das Ostras,-22.5269448,-41.944972,"Casimiro de Abreu,Macaé",159529,257,2298,342,4209,97,1082
67,Rio de Janeiro,-22.9110137,-43.2093727,"Duque de Caxias,Itaguaí,Seropédica,Mesquita,Nilópolis,Niterói,Nova Iguaçu,São João de Meriti",6775561,3076,76009,134577,66203,2688,17616
68,Santa Maria Madalena,-21.9557957,-42.008283,"Campos dos Goytacazes,Conceição de Macabu,São Fidélis,São Sebastião do Alto,Trajano de Moraes",10380,0,4,0,8,0,3
69,Santo Antônio de Pádua,-21.5389992,-42.1799978,"Miracema,São José de Ubá,Cambuci,Aperibé,Itaocara,Cantagalo",42705,184,1047,749,671,45,625
70,São Fidélis,-21.4743369,-41.1118362,"Cambuci,Campos dos Goytacazes,Cardoso Moreira,Italva,Itaocara,Santa Maria Madalena,São Sebastião do Alto",38749,412,593,125,695,12,240
71,São Francisco de Itabapoana,-21.6482101,-41.7480548,"Campos dos Goytacazes,São João da Barra",42214,33,143,26,1801,66,251
72,São Gonçalo,-22.8219014,-43.0309252,"Niterói,Maricá,Itaboraí",1098357,1816,5751,10068,15777,915,1503
73,São João da Barra,-21.6348588,-41.0487079,"Campos dos Goytacazes,São Francisco de Itabapoana",36731,291,105,17,213,5,58
74,São João de Meriti,-22.8043744,-43.3724125,"Belford Roxo,Duque de Caxias,Mesquita,Nilópolis,Rio de Janeiro.",473385,382,3649,1630,1541,73,111
75,São José de Ubá,-21.3595365,-41.9389905,"Cambuci,Itaperuna,Miracema,Santo Antônio de Padua",7240,1,6,6,66,5,185
76,São José do Vale do Rio Preto,-22.1509994,-42.9239986,"Areal,Petrópolis,Sapucaia,Sumidouro,Teresópolis,Três Rios",22032,52,99,8,378,3,677
77,São Pedro da Aldeia,-22.8384835,-42.1031604,"Araruama,Cabo Frio,Iguaba Grande",107556,244,643,312,1846,282,41
78,São Sebastião do Alto,-21.9568272,-42.134815,"Cantagalo,Itaocara,Macuco,Santa Maria Madalena,São Fidélis,Trajano de Morais",9416,0,8,1,141,0,0
79,Sapucaia,-21.9946569,-42.9137975,"Carmo,São José do Vale do Rio Preto,Sumidouro,Três Rios",18270,4,104,32,484,1,100
80,Saquarema,-22.9257974,-42.507633,"Araruama,Maricá,Rio Bonito,Tanguá",91938,172,591,216,2020,11,1983
81,Seropédica,-22.7438887,-43.6991998,"Itaguaí,Japeri,Nova Iguaçu,Paracambi,Queimados,Rio de Janeiro",83841,43,757,31,176,16,107
82,Silva Jardim,-22.6504534,-42.3919146,"Araruama,Cachoeiras de Macacu,Casimiro de Abreu,Nova Friburgo,Rio Bonito",21775,54,721,278,595,2,3
83,Sumidouro,-22.0498059,-42.6742601,"Carmo,Duas Barras,Nova Friburgo,São José do Vale do Rio Preto,Sapucaia,Teresópolis",15709,0,3,0,7,1,4
84,Tanguá,-22.7353777,-42.7202272,"Itaboraí,Maricá,Rio Bonito,Saquarema",34898,1753,207,501,1148,9,4
85,Teresópolis,-22.4164578,-42.975194,"Sapucaia,São José do Vale do Rio Preto,Sumidouro,Nova Friburgo,Cachoeiras de Macacu,Petrópolis,Guapimirim",185820,8,52,19,138,7,25
86,Trajano de Moraes,-22.0637911,-42.0644414,"Bom Jardim,Conceição de Macabu,Cordeiro,Macaé,Macuco,Nova Friburgo,Santa Maria Madalena,São Sebastião do Alto",10653,1,4,1,27,0,2
87,Três Rios,-22.1167884,-43.2087226,"Areal,Comendador Levy Gasparian,Paraíba do Sul,São José do Vale do Rio Preto,Sapucaia",82468,11,106,13,1134,7,43
88,Valença,-22.2461028,-43.6996917,"Quatis,Barra Mansa,Barra do Piraí,Vassouras,Rio das Flores",77202,500,1065,1228,2692,29,244
89,Varre-Sai,-20.9308869,-41.8685772,"Bom Jesus do Itabapoana,Natividade,Porciúncula",11208,3,2,2,43,1,32
90,Vassouras,-22.4040394,-43.6633853,"Barra do Piraí,Engenheiro Paulo de Frontin,Mendes,Miguel Pereira,Paraíba do Sul,Paty do Alferes,Rio das Flores,Valença",37262,321,610,29,771,58,768
91,Volta Redonda,-22.5225497,-44.1040128,"Barra do Piraí,Barra Mansa,Pinheiral,Piraí,Rio Claro",274925,161,6156,998,13493,283,4078
